pose: (1.54,-1.26,-1.70)	thetad = -1.74	e = -0.05, az = -0.19

pose: (1.55,-1.27,-1.72)	thetad = -1.76	e = -0.05, az = -0.20

pose: (1.55,-1.27,-1.74)	thetad = -1.79	e = -0.05, az = -0.21

pose: (1.55,-1.28,-1.76)	thetad = -1.81	e = -0.05, az = -0.21

pose: (1.56,-1.29,-1.79)	thetad = -1.84	e = -0.06, az = -0.23

pose: (1.56,-1.30,-1.81)	thetad = -1.87	e = -0.06, az = -0.24

pose: (1.56,-1.31,-1.83)	thetad = -1.89	e = -0.07, az = -0.26

